time_id,impl_id,n_cells,factor,n_threads,runtime
time_apply,sparse_band_matrix,12167000,230,1,0.2133130598813295
time_routine,sparse_band_matrix,12167000,230,1,0.7301823981106281
time_apply,sparse_csr_matrix,12167000,230,1,0.4305124953389168
time_routine,sparse_csr_matrix,12167000,230,1,2.877326495014131
time_apply,linear_stencil,13824000,240,1,0.2713591000065207
time_routine,linear_stencil,13824000,240,1,0.3278865423053503
time_apply,sparse_band_matrix,13824000,240,1,0.2412389377132058
time_routine,sparse_band_matrix,13824000,240,1,0.8235629294067621
time_apply,sparse_csr_matrix,13824000,240,1,0.4853530675172806
time_routine,sparse_csr_matrix,13824000,240,1,3.266070113517344
time_apply,linear_stencil,15625000,250,1,0.3057241681963205
time_routine,linear_stencil,15625000,250,1,0.3692101230844855
time_apply,sparse_band_matrix,15625000,250,1,0.2720127450302243
time_routine,sparse_band_matrix,15625000,250,1,0.9325714083388448
time_apply,sparse_csr_matrix,15625000,250,1,0.5512016378343105
time_routine,sparse_csr_matrix,15625000,250,1,3.692408635281026
time_apply,linear_stencil,17576000,260,1,0.344259325414896
time_routine,linear_stencil,17576000,260,1,0.4149016430601478
time_apply,sparse_band_matrix,17576000,260,1,0.3068336741998792
time_routine,sparse_band_matrix,17576000,260,1,1.044398350641131
time_apply,sparse_csr_matrix,17576000,260,1,0.6197058409452438
time_routine,sparse_csr_matrix,17576000,260,1,4.154353472404182
time_apply,linear_stencil,19683000,270,1,0.3854486579075456
time_routine,linear_stencil,19683000,270,1,0.4644192475825548
time_apply,sparse_band_matrix,19683000,270,1,0.3431174112483859
time_routine,sparse_band_matrix,19683000,270,1,1.178395135328174
time_apply,sparse_csr_matrix,19683000,270,1,0.6975637506693602
time_routine,sparse_csr_matrix,19683000,270,1,4.656485688872635
time_apply,linear_stencil,21952000,280,1,0.4297437490895391
time_routine,linear_stencil,21952000,280,1,0.518249942921102
time_apply,sparse_band_matrix,21952000,280,1,0.3816886469721794
time_routine,sparse_band_matrix,21952000,280,1,1.311775360256433
time_apply,sparse_csr_matrix,21952000,280,1,0.7704217126592994
