time_id,impl_id,n_cells,factor,n_tiling_levels_rows,n_tiling_cols,runtime
time_apply,linear_stencil_tiling,4362471432,1,16,1,139.3239581175148
time_apply,linear_stencil_tiling,4362471432,1,16,2,79.92264231760055
time_apply,linear_stencil_tiling,4362471432,1,16,4,45.97588818892837
time_apply,linear_stencil_tiling,4362471432,1,16,8,60.35205833055079
time_apply,linear_stencil_tiling,4362471432,1,16,16,38.77175867278129
time_apply,linear_stencil_tiling,4362471432,1,16,32,18.41507018078119
time_apply,linear_stencil_tiling,4362471432,1,16,64,15.07842713687569
time_apply,linear_stencil_tiling,4362471432,1,16,128,13.98376493435353
time_apply,linear_stencil_tiling,4362471432,1,16,256,12.60453441552818
time_apply,linear_stencil_tiling,4362471432,1,16,512,12.06209059990942
time_apply,linear_stencil_tiling,4362471432,1,16,1024,11.23910525068641
time_apply,linear_stencil_tiling,4362471432,1,16,2048,11.24326155427843
time_apply,linear_stencil_tiling,4362471432,1,16,4096,11.58971030265093
time_apply,linear_stencil_tiling,4362471432,1,16,8192,11.92732984293252
time_apply,linear_stencil_tiling,4362471432,1,16,16384,12.34391482267529
time_apply,linear_stencil_tiling,4362471432,1,16,32768,12.36130238696933
time_apply,linear_stencil_tiling,4362471432,1,16,65536,12.32321314327419
time_apply,linear_stencil_tiling,4362471432,1,32,1,144.1749770659953
time_apply,linear_stencil_tiling,4362471432,1,32,2,81.82142276223749
time_apply,linear_stencil_tiling,4362471432,1,32,4,46.77046583220363
time_apply,linear_stencil_tiling,4362471432,1,32,8,65.22339637577534
time_apply,linear_stencil_tiling,4362471432,1,32,16,38.84833784028888
time_apply,linear_stencil_tiling,4362471432,1,32,32,21.94949979428202
time_apply,linear_stencil_tiling,4362471432,1,32,64,19.8673841021955
time_apply,linear_stencil_tiling,4362471432,1,32,128,16.88445201236755
time_apply,linear_stencil_tiling,4362471432,1,32,256,14.07238887995481
time_apply,linear_stencil_tiling,4362471432,1,32,512,13.66673811059445
time_apply,linear_stencil_tiling,4362471432,1,32,1024,12.76459468435496
time_apply,linear_stencil_tiling,4362471432,1,32,2048,12.19485020264983
time_apply,linear_stencil_tiling,4362471432,1,32,4096,11.90638657473028
time_apply,linear_stencil_tiling,4362471432,1,32,8192,11.72180571593344
time_apply,linear_stencil_tiling,4362471432,1,32,16384,11.9496628716588
time_apply,linear_stencil_tiling,4362471432,1,32,32768,11.94780244119465
time_apply,linear_stencil_tiling,4362471432,1,32,65536,11.93329436797649
time_apply,linear_stencil_tiling,4362471432,1,64,1,154.011149068363
time_apply,linear_stencil_tiling,4362471432,1,64,2,87.16989679820836
time_apply,linear_stencil_tiling,4362471432,1,64,4,48.87012052070349
time_apply,linear_stencil_tiling,4362471432,1,64,8,68.69991873949766
time_apply,linear_stencil_tiling,4362471432,1,64,16,37.90883653983474
time_apply,linear_stencil_tiling,4362471432,1,64,32,22.52762497309595
time_apply,linear_stencil_tiling,4362471432,1,64,64,22.82432659901679
time_apply,linear_stencil_tiling,4362471432,1,64,128,21.34642885625362
time_apply,linear_stencil_tiling,4362471432,1,64,256,17.92264683637768
time_apply,linear_stencil_tiling,4362471432,1,64,512,15.25574889872223
time_apply,linear_stencil_tiling,4362471432,1,64,1024,13.15473232977092
time_apply,linear_stencil_tiling,4362471432,1,64,2048,12.28445645049214
time_apply,linear_stencil_tiling,4362471432,1,64,4096,11.9773442260921
time_apply,linear_stencil_tiling,4362471432,1,64,8192,11.7682175654918
time_apply,linear_stencil_tiling,4362471432,1,64,16384,12.03342607524246
time_apply,linear_stencil_tiling,4362471432,1,64,32768,12.01556588802487
time_apply,linear_stencil_tiling,4362471432,1,64,65536,12.00321354810148
time_apply,linear_stencil_tiling,4362471432,1,128,1,160.1911489414051
time_apply,linear_stencil_tiling,4362471432,1,128,2,86.71211857441813
time_apply,linear_stencil_tiling,4362471432,1,128,4,47.88152876030654
time_apply,linear_stencil_tiling,4362471432,1,128,8,66.75724405702204
time_apply,linear_stencil_tiling,4362471432,1,128,16,34.49421598017216
time_apply,linear_stencil_tiling,4362471432,1,128,32,23.1253565074876
time_apply,linear_stencil_tiling,4362471432,1,128,64,24.09465404227376
time_apply,linear_stencil_tiling,4362471432,1,128,128,21.91123239230365
time_apply,linear_stencil_tiling,4362471432,1,128,256,18.14830920100212
time_apply,linear_stencil_tiling,4362471432,1,128,512,15.06769147701561
time_apply,linear_stencil_tiling,4362471432,1,128,1024,12.94610954076052
time_apply,linear_stencil_tiling,4362471432,1,128,2048,12.10753457807004
time_apply,linear_stencil_tiling,4362471432,1,128,4096,11.75193537212908
time_apply,linear_stencil_tiling,4362471432,1,128,8192,11.52422813605517
time_apply,linear_stencil_tiling,4362471432,1,128,16384,11.816420677118
time_apply,linear_stencil_tiling,4362471432,1,128,32768,11.79691218119115
time_apply,linear_stencil_tiling,4362471432,1,128,65536,11.7801590366289
time_apply,linear_stencil_tiling,4362471432,1,256,1,193.8881677733734
time_apply,linear_stencil_tiling,4362471432,1,256,2,104.7409190218896
time_apply,linear_stencil_tiling,4362471432,1,256,4,54.75524498987943
time_apply,linear_stencil_tiling,4362471432,1,256,8,63.3964468119666
