node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,8,37904.9868,612.7133,37904.9868,612.7133,31434.7642,511.8886,6.9708,5.7216,20.5208,44791.9638,741.8574
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,16,132236.3064,536.3376,132236.3064,536.3376,64926.5931,260.6056,5.6653,5.2065,22.9843,72520.0845,291.1826
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,16,72936.6869,647.8060,72936.6869,647.8060,58499.2303,519.4845,7.1179,5.8257,20.4653,75489.3276,668.6374
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,32,225355.3522,561.8960,225355.3522,561.8960,109745.4234,271.5583,5.9006,5.2648,22.3061,113521.5299,279.4881
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,32,109447.6358,654.6209,109447.6358,654.6209,93587.5887,563.2422,7.6701,6.0623,19.7577,109498.0161,661.7047
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,64,450431.0720,560.2187,450431.0720,560.2187,218890.1509,271.4382,5.8932,5.2708,22.3613,225848.4255,281.1481
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,64,170388.1185,667.2387,170388.1185,667.2387,174902.7393,681.4837,8.4063,6.1152,18.1721,184415.2654,724.3207
gauss3,e_memory_by_threads,several_coeff,apply,1600,1600,1600,4096000000,128,499129.6525,631.1286,499129.6525,631.1286,199055.2793,252.1761,4.4104,4.0874,11.5536,210742.7625,266.9241
gauss3,e_memory_by_threads,several_coeff,overall,1600,1600,1600,4096000000,128,266012.0385,1252.2260,266012.0385,1252.2260,155069.7289,632.1518,3.0032,2.2471,9.4401,173850.3376,710.2856

