node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,tiling_cols,tiling_rows,tiling_levels,runtime
gauss3,cache,tiling,apply,16,2050,2050,2050,256,32,32,2.50248
gauss3,cache,tiling,routine,16,2050,2050,2050,256,32,32,5.41371
gauss3,cache,tiling,apply,16,2050,2050,2050,512,32,32,2.04697
gauss3,cache,tiling,routine,16,2050,2050,2050,512,32,32,4.96115
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,32,32,1.68461
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,32,32,4.6234
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,32,32,1.37327
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,32,32,4.29358
gauss3,cache,tiling,apply,16,2050,2050,2050,4,64,64,6.66709
gauss3,cache,tiling,routine,16,2050,2050,2050,4,64,64,9.55975
gauss3,cache,tiling,apply,16,2050,2050,2050,8,64,64,5.51815
gauss3,cache,tiling,routine,16,2050,2050,2050,8,64,64,8.4162
gauss3,cache,tiling,apply,16,2050,2050,2050,16,64,64,4.10261
gauss3,cache,tiling,routine,16,2050,2050,2050,16,64,64,7.00868
gauss3,cache,tiling,apply,16,2050,2050,2050,32,64,64,4.80897
gauss3,cache,tiling,routine,16,2050,2050,2050,32,64,64,7.59558
gauss3,cache,tiling,apply,16,2050,2050,2050,64,64,64,4.32212
gauss3,cache,tiling,routine,16,2050,2050,2050,64,64,64,7.21962
gauss3,cache,tiling,apply,16,2050,2050,2050,128,64,64,3.58316
gauss3,cache,tiling,routine,16,2050,2050,2050,128,64,64,6.46781
gauss3,cache,tiling,apply,16,2050,2050,2050,256,64,64,2.48667
gauss3,cache,tiling,routine,16,2050,2050,2050,256,64,64,5.36278
gauss3,cache,tiling,apply,16,2050,2050,2050,512,64,64,2.02992
gauss3,cache,tiling,routine,16,2050,2050,2050,512,64,64,4.90943
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,64,64,1.6535
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,64,64,4.539
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,64,64,1.33749
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,64,64,4.21071
gauss3,cache,tiling,apply,16,2050,2050,2050,4,128,128,7.0129
gauss3,cache,tiling,routine,16,2050,2050,2050,4,128,128,9.8039
gauss3,cache,tiling,apply,16,2050,2050,2050,8,128,128,6.04195
gauss3,cache,tiling,routine,16,2050,2050,2050,8,128,128,8.91941
gauss3,cache,tiling,apply,16,2050,2050,2050,16,128,128,6.16177
gauss3,cache,tiling,routine,16,2050,2050,2050,16,128,128,9.12301
gauss3,cache,tiling,apply,16,2050,2050,2050,32,128,128,5.34312
