time_id,impl_id,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
time_apply,linear_stencil_tiling,8,1024,36235530000,30397870000,13147210000,24473890000,15094810000,654292000,12.9351,15.4248,2800.3139,1.8615,15094810000,1.1481,654292000,0.0498,0.0433
time_apply,linear_stencil_tiling,8,2048,34596180000,28563380000,13130430000,22837130000,14967300000,563272900,12.1590,14.7218,2846.3307,1.7393,14967300000,1.1399,563272900,0.0429,0.0376
time_apply,linear_stencil_tiling,8,4096,33784140000,28367620000,13122050000,22050340000,14914720000,522598600,12.0709,14.3763,2798.7003,1.6804,14914720000,1.1366,522598600,0.0398,0.0350
time_apply,linear_stencil_tiling,8,8192,33656590000,28280490000,13117850000,21908070000,14892790000,513598900,12.0332,14.3220,2796.7258,1.6701,14892790000,1.1353,513598900,0.0392,0.0345
time_apply,linear_stencil_tiling,8,16384,35937980000,28360960000,13115750000,24106020000,15060800000,622659100,12.0683,15.2928,2977.8292,1.8379,15060800000,1.1483,622659100,0.0475,0.0413
time_apply,linear_stencil_tiling,8,32768,36183990000,30347330000,13114710000,24387410000,15013030000,618549800,12.9136,15.3975,2801.9623,1.8595,15013030000,1.1447,618549800,0.0472,0.0412
time_apply,linear_stencil_tiling,8,65536,36676600000,30736710000,13114180000,24860450000,15033700000,633442400,13.0793,15.6071,2804.1357,1.8957,15033700000,1.1464,633442400,0.0483,0.0421
time_apply,linear_stencil_tiling,16,4,138542500000,114442100000,21133200000,126170000000,42037310000,14947830000,48.6967,58.9556,2844.8243,5.9702,42037310000,1.9892,14947830000,0.7073,0.3556
time_apply,linear_stencil_tiling,16,8,140619200000,115640400000,17123450000,128295800000,44044810000,13681240000,49.2076,59.8382,2857.5985,7.4924,44044810000,2.5722,13681240000,0.7990,0.3106
time_apply,linear_stencil_tiling,16,16,91237550000,75683740000,15118550000,79108290000,31194850000,7692574000,32.2053,38.8260,2832.8397,5.2325,31194850000,2.0633,7692574000,0.5088,0.2466
