node_id,impl_id,region_id,obj_levels_rows,obj_cols,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
gauss3,linear_stencil_tiling,time_apply,2050,2050,8,1024,78020700000,63279640000,25983250000,45500090000,29920220000,1367267000,26.9270,33.2004,2897.4301,1.7511,29920220000,1.1515,1367267000,0.0526,0.0457
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,4,283110800000,225478200000,41954410000,246542700000,80966470000,30837440000,95.9473,120.4754,2950.5971,5.8764,80966470000,1.9299,30837440000,0.7350,0.3809
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,8,280170600000,217802600000,33934900000,244263700000,84102640000,27250170000,92.6809,119.2281,3022.7595,7.1980,84102640000,2.4784,27250170000,0.8030,0.3240
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,16,179620000000,141575800000,29925100000,145023400000,59733250000,15110400000,60.2445,76.4343,2981.4816,4.8462,59733250000,1.9961,15110400000,0.5049,0.2530
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,32,130127200000,105331800000,27920200000,95735240000,41100110000,7758053000,44.8218,55.3735,2903.1832,3.4289,41100110000,1.4721,7758053000,0.2779,0.1888
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,64,105727900000,86036830000,26917750000,71864530000,32989220000,4049433000,36.6113,44.9915,2887.7820,2.6698,32989220000,1.2256,4049433000,0.1504,0.1228
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,128,98757670000,80372840000,26416530000,64961080000,31783630000,3065490000,34.2008,42.0248,2887.5292,2.4591,31783630000,1.2032,3065490000,0.1160,0.0964
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,256,89756380000,73195560000,26165920000,56521010000,30946470000,2425661000,31.1466,38.1943,2881.6891,2.1601,30946470000,1.1827,2425661000,0.0927,0.0784
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,512,86913830000,70835790000,26040610000,53383660000,30643400000,2128226000,30.1419,36.9847,2883.3833,2.0500,30643400000,1.1768,2128226000,0.0817,0.0695
gauss3,linear_stencil_tiling,time_apply,2050,2050,16,1024,78085000000,62672890000,25977960000,45648280000,29819340000,1316867000,26.6683,33.2278,2927.8880,1.7572,29819340000,1.1479,1316867000,0.0507,0.0442
